jaar,Kosten per Watt per 1$,Terugverkoopprijs kWh per 0.01$, Geïnstalleerde zonnepanelen / 1000
1977,76.0,4.1,
1978,57.4,4.3,
1979,39.5,4.6,
1980,29.5,5.4,
1981,23.7,6.2,
1982,18.2,6.9,
1983,15.8,7.2,
1984,13.7,7.2,
1985,11.9,7.4,
1986,11.2,7.4,
1987,9.8,7.5,
1988,7.9,7.5,
1989,7.2,7.7,
1990,7.7,7.8,2.1
1991,7.9,8.0,3.9
1992,7.9,8.2,6.0
1993,7.7,8.3,7.9
1994,7.7,8.4,10.4
1995,7.2,8.4,13.8
1996,5.8,8.4,18.2
1997,6.3,8.4,25.9
1998,6.8,8.3,33.1
1999,6.8,8.2,41.5
2000,5.8,8.2,49.3
2001,5.6,8.6,57.9
2002,5.8,8.4,67.7
2003,5.6,8.7,75.9
2004,4.5,8.9,83.5
2005,3.8,9.5,90.8
2006,4.2,10.4,96.4
2007,4.0,10.7,102.6
2008,4.0,11.3,109.6
2009,1.9,11.5,120.3
2010,1.9,11.5,128.1
2011,1.7,11.8,135.3
