"Hernieuwbare energie; verbruik naar energiebron, techniek en toepassing"
"";"";"Onderwerpen";"Bruto eindverbruik hernieuwbare energie"
"";"";"Onderwerpen";"Bruto eindverbruik"
"Bron/Techniek";"Energietoepassingen";"Perioden";"TJ"
"Windenergie";"  energietoepassingen";"2010";"16210"
"Windenergie";"  energietoepassingen";"2011";"17010"
"Windenergie";"  energietoepassingen";"2012";"17780"
"Windenergie";"  energietoepassingen";"2013";"19324"
"Windenergie";"  energietoepassingen";"2014";"20914"
"Windenergie";"  energietoepassingen";"2015";"24900"
"Zonne-energie";"  energietoepassingen";"2010";"1196"
"Zonne-energie";"  energietoepassingen";"2011";"1416"
"Zonne-energie";"  energietoepassingen";"2012";"1885"
"Zonne-energie";"  energietoepassingen";"2013";"2861"
"Zonne-energie";"  energietoepassingen";"2014";"3953"
"Zonne-energie";"  energietoepassingen";"2015";"5174"
"Aardwarmte";"  energietoepassingen";"2010";"2501"
"Aardwarmte";"  energietoepassingen";"2011";"2854"
"Aardwarmte";"  energietoepassingen";"2012";"3347"
"Aardwarmte";"  energietoepassingen";"2013";"4140"
"Aardwarmte";"  energietoepassingen";"2014";"4906"
"Aardwarmte";"  energietoepassingen";"2015";"6082"
"Buitenluchtwarmte";"  energietoepassingen";"2010";"536"
"Buitenluchtwarmte";"  energietoepassingen";"2011";"737"
"Buitenluchtwarmte";"  energietoepassingen";"2012";"961"
"Buitenluchtwarmte";"  energietoepassingen";"2013";"1230"
"Buitenluchtwarmte";"  energietoepassingen";"2014";"1592"
"Buitenluchtwarmte";"  energietoepassingen";"2015";"2019"
"Biomassa";"  energietoepassingen";"2010";"71635"
"Biomassa";"  energietoepassingen";"2011";"76666"
"Biomassa";"  energietoepassingen";"2012";"78924"
"Biomassa";"  energietoepassingen";"2013";"76667"
"Biomassa";"  energietoepassingen";"2014";"78740"
"Biomassa";"  energietoepassingen";"2015";"80683"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 22-11-2017"
